title,location,precio,basic_features,extra_features
Piso en venta en calle Pintor Aparicio,Ensanche-Diputación,265000,"['133 m² construidos, 119 m² útiles', '4 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1974', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 5ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle Pintor Aparicio,Ensanche-Diputación,265000,"['133 m² construidos, 119 m² útiles', '4 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1974', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 5ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle del Pintor Aparicio,Ensanche-Diputación,269000,"['112 m² construidos, 105 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje por 35.000 € adicionales', 'Segunda mano/buen estado', 'Orientación sur', 'Construido en 1978', 'No dispone de calefacción', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 5ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle Italia,Ensanche-Diputación,295000,"['117 m² construidos, 100 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, oeste', 'Construido en 1975', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Urb. No,Centro,269000,"['105 m² construidos, 87 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Bomba de frío/calor', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n116 kWh/m² año', 'Emisiones: \n32 kg CO2/m² año']"
Piso en venta en Ensanche-Diputación,Centro,269000,"['105 m² construidos, 90 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1968', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
Piso en venta en calle Italia s/n,Ensanche-Diputación,319000,"['96 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje por 29.900 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este, oeste', 'Construido en 1986', 'Calefacción central', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en avenida Maisonnave,Ensanche-Diputación,509000,"['160 m² construidos, 155 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1988', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en plaza de los Luceros s/n,Ensanche-Diputación,550000,"['199 m² construidos, 170 m² útiles', '4 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2010', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n115 kWh/m² año', 'Emisiones: \n32 kg CO2/m² año']"
Piso en venta en avenida Doctor Gadea,Ensanche-Diputación,390000,"['161 m² construidos, 146 m² útiles', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/para reformar', 'Armarios empotrados', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Eusebio Sempere,Ensanche-Diputación,435000,"['136 m² construidos, 122 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1987', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Poeta Vila y Blanco,Ensanche-Diputación,680000,"['218 m² construidos, 194 m² útiles', '5 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, sur', 'Construido en 2006', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Dúplex en venta en calle Pintor Cabrera,Ensanche-Diputación,410000,"['228 m² construidos, 200 m² útiles', '5 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje por 30.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, sur, este, oeste', 'Construido en 1979', 'Calefacción individual: Gas propano/butano', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n43,42 kWh/m² año', 'Emisiones:']"
Piso en venta en Ensanche-Diputación,Centro,460000,"['170 m² construidos', '3 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Planta 3ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
Piso en venta en Ensanche-Diputación,Centro,280000,"['91 m² construidos', '2 habitaciones', '1 baño', 'Terraza', 'Segunda mano/para reformar', 'Planta 3ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
Piso en venta en avenida de la Estación,Ensanche-Diputación,212000,"['102 m² construidos, 100 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Construido en 1981', 'No dispone de calefacción', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Ático en venta en plaza de los Luceros,Ensanche-Diputación,875000,"['149 m² construidos, 130 m² útiles', '3 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 10ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Ensanche-Diputación,Centro,549000,"['125 m² construidos, 110 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje por 50.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2019', 'Calefacción central', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo: \n26 kWh/m² año', 'Emisiones: \n6 kg CO2/m² año']"
Piso en venta en calle Reyes Católicos,Ensanche-Diputación,448000,"['158 m² construidos, 148 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Calefacción individual', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en Ensanche-Diputación,Centro,355000,"['185 m² construidos, 160 m² útiles', '5 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1976', 'Calefacción individual', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Ensanche-Diputación,Centro,332000,"['185 m² construidos, 160 m² útiles', '5 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1976', 'Calefacción individual', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en avenida Federico Soto,Ensanche-Diputación,380000,"['169 m² construidos, 150 m² útiles', '2 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 8ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Reyes Católicos,Ensanche-Diputación,455000,"['157 m² construidos, 140 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en Italia,Ensanche-Diputación,366000,"['209 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje por 40.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Construido en 1980', 'Calefacción individual', 'Solo interior de la vivienda adaptado para personas con movilidad reducida', 'Planta 9ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n149 kWh/m² año', 'Emisiones: \n38 kg CO2/m² año']"
Piso en venta en calle Italia,Ensanche-Diputación,270000,"['95 m² construidos, 90 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1973', 'Calefacción individual', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle Italia,Ensanche-Diputación,460000,"['190 m² construidos, 170 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle París,Ensanche-Diputación,325000,"['70 m² construidos, 55 m² útiles', '2 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Orense,Ensanche-Diputación,250000,"['90 m² construidos, 80 m² útiles', '3 habitaciones', '2 baños', 'Plaza de garaje por 40.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1969', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Entreplanta exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Ensanche-Diputación,Centro,385000,"['150 m² construidos, 130 m² útiles', '3 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Ensanche-Diputación,Centro,599000,"['245 m² construidos, 244 m² útiles', '5 habitaciones', '4 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1986', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en plaza Galicia,Ensanche-Diputación,349000,"['178 m² construidos, 134 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación sur', 'Construido en 1969', 'No dispone de calefacción', 'Planta 2ª exterior', 'Con ascensor']","['Consumo: \n109 kWh/m² año', 'Emisiones: \n20 kg CO2/m² año']"
