title,location,precio,basic_features,extra_features
Piso en venta en Maestro Marques,Mercado,159000,"['85 m² construidos, 75 m² útiles', '2 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Orientación sur', 'Construido en 1970', 'No dispone de calefacción', 'Planta 2ª exterior', 'Sin ascensor']",['En trámite']
Piso en venta en Maestro Marques,Mercado,159000,"['85 m² construidos, 75 m² útiles', '2 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Orientación sur', 'Construido en 1970', 'No dispone de calefacción', 'Planta 2ª exterior', 'Sin ascensor']",['En trámite']
Piso en venta en Campoamor,Campoamor-Carolinas-Altozano,105000,"['118 m² construidos, 100 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1969', 'No dispone de calefacción', 'Planta 3ª exterior', 'Sin ascensor']","['Consumo: \n176 kWh/m² año', 'Emisiones: \n33 kg CO2/m² año']"
Ático en venta en calle Trafalgar s/n,San Antón,110000,"['66 m² construidos, 60 m² útiles', '2 habitaciones', '1 baño', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este, oeste', 'Construido en 1950', 'Planta 3ª exterior', 'Sin ascensor']",['En trámite']
Piso en venta en Mercado,Centro,320000,"['118 m² construidos, 100 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1918', 'No dispone de calefacción', 'Bajo exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Ático en venta en calle Poeta Campos Vasallo,Mercado,425000,"['300 m² construidos, 240 m² útiles', '5 habitaciones', '4 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Calefacción individual: Bomba de frío/calor', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 5ª exterior', 'Con ascensor']","['Consumo: \n116 kWh/m² año', 'Emisiones: \n32 kg CO2/m² año']"
Piso en venta en Mercado,Centro,550000,"['167 m² construidos, 150 m² útiles', '4 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2010', 'Calefacción individual', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en calle Díaz Moreu,San Antón,279000,"['114 m² construidos, 109 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Calefacción individual', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n116 kWh/m² año', 'Emisiones: \n32 kg CO2/m² año']"
Piso en venta en calle Pablo Iglesias,Mercado,318000,"['160 m² construidos, 140 m² útiles', '4 habitaciones', '1 baño', 'Balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación sur, este', 'No dispone de calefacción', 'Planta 2ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle Taquigrafo Martí,Mercado,145000,"['129 m² construidos, 105 m² útiles', '4 habitaciones', '1 baño', 'Balcón', 'Segunda mano/para reformar', 'Orientación sur, este', 'Construido en 1944', 'Planta 2ª exterior', 'Sin ascensor']","['Consumo:', 'Emisiones:']"
Piso en venta en calle San Vicente,Mercado,229000,"['95 m² construidos, 90 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje por 33.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 2009', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n111 kWh/m² año', 'Emisiones: \n20 kg CO2/m² año']"
Piso en venta en plaza de los Luceros,Mercado,525000,"['167 m² construidos, 147 m² útiles', '4 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en calle San Vicente,Mercado,480000,"['165 m² construidos, 130 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje por 40.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Construido en 1998', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Mercado,Centro,165000,"['104 m² construidos, 90 m² útiles', '4 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1985', 'No dispone de calefacción', 'Planta 6ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
Ático en venta en Mercado,Centro,350000,"['118 m² construidos', '2 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Con ascensor']",['En trámite']
Piso en venta en San Vicente,Mercado,350000,"['140 m² construidos, 134 m² útiles', '4 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Planta 2ª exterior', 'Sin ascensor']",['En trámite']
Piso en venta en calle Maestro Gaztambide,Mercado,145000,"['85 m² construidos, 72 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1971', 'No dispone de calefacción', 'Planta 1ª exterior', 'Con ascensor']",['No indicado']
Piso en venta en calle Calderón de la Barca,Mercado,350000,"['159 m² construidos, 120 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 2002', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n139 kWh/m² año', 'Emisiones: \n24 kg CO2/m² año']"
Piso en venta en calle San Vicente,Mercado,195000,"['155 m² construidos, 150 m² útiles', '4 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Construido en 1987', 'Planta 1ª exterior', 'Con ascensor']",['Consumo:']
Piso en venta en avenida Poeta Carmelo Calvo,Mercado,230000,"['168 m² construidos, 149 m² útiles', '5 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1965', 'Calefacción individual: Eléctrica', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Mercado,Centro,270000,"['95 m² construidos, 79 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Planta 6ª', 'Con ascensor']",['En trámite']
Chalet adosado en venta en calle L'Horta,San Antón,275000,"['Chalet adosado', '1 planta', '195 m² construidos, 148 m² útiles', '4 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Orientación este', 'Construido en 2008', 'Calefacción central']","['Aire acondicionado', 'No indicado']"
Piso en venta en Mercado,Centro,230000,"['122 m² construidos, 101 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1969', 'Calefacción individual', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Taquigrafo Martí,Campoamor,133000,"['91 m² construidos', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, oeste', 'Construido en 1969', 'Calefacción individual', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en avenida Alfonso El Sabio,Mercado,258000,"['111 m² construidos, 100 m² útiles', '4 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Construido en 1959', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']",['Consumo: \n999 kWh/m² año']
Piso en venta en calle del Poeta Quintana,Mercado,220000,"['73 m² construidos, 64 m² útiles', '2 habitaciones', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, sur', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en Poeta Carmelo Calvo,Mercado,230000,"['168 m² construidos, 145 m² útiles', '5 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1965', 'Calefacción individual: Bomba de frío/calor', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n43 kWh/m² año', 'Emisiones: \n42 kg CO2/m² año']"
Piso en venta en Mercado,Centro,242000,"['133 m² construidos, 125 m² útiles', '5 habitaciones', '2 baños', 'Segunda mano/para reformar', 'Orientación este', 'Construido en 1967', 'No dispone de calefacción', 'Planta 4ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle San Vicente,Mercado,385000,"['183 m² construidos, 139 m² útiles', '4 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Construido en 2008', 'Calefacción central: Gas', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n79 kWh/m² año', 'Emisiones: \n15 kg CO2/m² año']"
Piso en venta en Benito Pérez Galdós,Mercado,155000,"['80 m² construidos, 60 m² útiles', '1 habitación', '1 baño', 'Segunda mano/para reformar', 'Orientación sur', 'Construido en 1963', 'Bajo exterior', 'Sin ascensor']","['Consumo: \n156 kWh/m² año', 'Emisiones: \n59 kg CO2/m² año']"
Casa o chalet independiente en venta en pasaje San Fernando,Campoamor,298000,"['Casa o chalet independiente', '3 plantas', '203 m² construidos, 180 m² útiles', '6 habitaciones', '6 baños', 'Parcela de 150 m²', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Orientación norte', 'Construido en 1983']",['En trámite']
Piso en venta en plaza de los Luceros,Mercado,550000,"['213 m² construidos, 167 m² útiles', '4 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2010', 'Calefacción central: Gas', 'Planta 1ª interior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
