title,location,precio,basic_features,extra_features
Piso en venta en Explanada de España,Casco Histórico-Santa Cruz,685000,"['126 m² construidos, 100 m² útiles', '3 habitaciones', '3 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Calefacción individual: Bomba de frío/calor', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en Explanada de España,Casco Histórico-Santa Cruz,685000,"['126 m² construidos, 100 m² útiles', '3 habitaciones', '3 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Calefacción individual: Bomba de frío/calor', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle San Fernando,Casco Histórico-Santa Cruz,475000,"['98 m² construidos, 93 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1957', 'Calefacción central', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones: \n18 kg CO2/m² año']"
Piso en venta en rambla de Méndez Núñez,Casco Histórico-Santa Cruz,595000,"['145 m² construidos, 117 m² útiles', '2 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, oeste', 'Construido en 1945', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Casco Histórico-Santa Cruz,Centro,699000,"['197 m² construidos', '2 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1880', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en rambla Méndez Núñez,Centro Tradicional,311000,"['194 m² construidos, 165 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación sur', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']","['Consumo: \n116 kWh/m² año', 'Emisiones: \n32 kg CO2/m² año']"
Piso en venta en rambla Méndez Núñez,Centro Tradicional,260000,"['94 m² construidos, 79 m² útiles', '1 habitación', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Orientación norte, este', 'No dispone de calefacción', 'Planta 5ª exterior', 'Con ascensor']","['Consumo: \n124 kWh/m² año', 'Emisiones: \n21 kg CO2/m² año']"
Piso en venta en calle San Fernando,Casco Histórico-Santa Cruz,699000,"['197 m² construidos, 173 m² útiles', '2 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Calefacción individual: Bomba de frío/calor', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en san fernando,Casco Histórico-Santa Cruz,990000,"['225 m² construidos, 200 m² útiles', '4 habitaciones', '4 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle General Primo de Rivera,Casco Histórico-Santa Cruz,195000,"['84 m² construidos, 71 m² útiles', '3 habitaciones', '1 baño', 'Terraza', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1971', 'No dispone de calefacción', 'Planta 5ª exterior', 'Con ascensor']",['En trámite']
