title,location,precio,basic_features,extra_features
Piso en venta en Bailen,Centro Tradicional,398000,"['150 m² construidos, 135 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 2ª exterior', 'Sin ascensor']",['En trámite']
Dúplex en venta en calle Barón de Finestrat,Centro Tradicional,199500,"['149 m² construidos, 120 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Bajo exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle del Medico Pascual Perez,Centro Tradicional,395000,"['175 m² construidos, 160 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Gerona,Centro Tradicional,450000,"['150 m² construidos, 140 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle de Ángel Lozano,Centro Tradicional,545000,"['180 m² construidos, 156 m² útiles', '3 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en avenida Doctor Gadea,Centro Tradicional,680000,"['137 m² construidos, 125 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1986', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en villegas,Centro Tradicional,385000,"['142 m² construidos, 131 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Ángel Lozano,Centro Tradicional,449000,"['160 m² construidos', '3 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 2005', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª interior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en avenida Alfonso El Sabio,Centro Tradicional,155000,"['54 m² construidos, 44 m² útiles', '1 habitación', '1 baño', 'Terraza', 'Segunda mano/para reformar', 'Orientación sur, este', 'Construido en 1976', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Susana Llaneras,Centro Tradicional,165000,"['82 m² construidos, 69 m² útiles', '4 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Orientación sur, oeste', 'Construido en 1940', 'No dispone de calefacción', 'Planta 3ª exterior', 'Sin ascensor']",['En trámite']
Piso en venta en avenida del Doctor Gadea,Centro Tradicional,680000,"['137 m² construidos, 127 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este, oeste', 'Construido en 1986', 'Calefacción central', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Alfonso X El Sabio,Centro Tradicional,355000,"['160 m² construidos, 145 m² útiles', '4 habitaciones', '3 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Bomba de frío/calor', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n43 kWh/m² año', 'Emisiones: \n42 kg CO2/m² año']"
Piso en venta en calle Susana Llaneras,Centro Tradicional,220000,"['100 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n999 kWh/m² año']"
