title,location,precio,basic_features,extra_features
Chalet adosado en venta en Paus,San Blas-Pau,269000,"['Chalet adosado', '201 m² construidos, 142 m² útiles', '4 habitaciones', '4 baños', 'Parcela de 62 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2003', 'No dispone de calefacción']","['Piscina', 'Jardín', 'No indicado']"
Chalet adosado en venta en Paus,San Blas-Pau,269000,"['Chalet adosado', '201 m² construidos, 142 m² útiles', '4 habitaciones', '4 baños', 'Parcela de 62 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2003', 'No dispone de calefacción']","['Piscina', 'Jardín', 'No indicado']"
Piso en venta en calle Catedratico Ferre Vidiella,Ensanche-Diputación,165000,"['134 m² construidos, 130 m² útiles', '3 habitaciones', '1 baño', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1975', 'Calefacción individual', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en Ensanche-Diputación,Centro,480000,"['125 m² construidos, 110 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Calefacción individual: Bomba de frío/calor', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 9ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n32 kWh/m² año', 'Emisiones: \n16 kg CO2/m² año']"
Piso en venta en avenida Salamanca,Ensanche-Diputación,140000,"['80 m² construidos, 70 m² útiles', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Trastero', 'Orientación este', 'Construido en 1971', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Entreplanta exterior', 'Con ascensor']",['En trámite']
Piso en venta en avenida José Jornet Navarro,Paus,310000,"['107 m² construidos, 100 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Construido en 2020', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'En trámite']"
Ático en venta en calle Pintor Gisbert s/n,Santo Domingo,199000,"['137 m² construidos, 135 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'No dispone de calefacción', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n159 kWh/m² año', 'Emisiones: \n31 kg CO2/m² año']"
Piso en venta en calle luis vives,San Agustín,130000,"['100 m² construidos, 90 m² útiles', '3 habitaciones', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 2007', 'Bajo exterior', 'Sin ascensor']",['En trámite']
Piso en venta en calle Ciudad de Wenzhou,Paus,157900,"['90 m² construidos, 85 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 2006', 'No dispone de calefacción', 'Planta 3ª exterior', 'Con ascensor']","['Piscina', 'Consumo:', 'Emisiones:']"
Piso en venta en plaza del Papa Juan Pablo II,Paus,298000,"['132 m² construidos, 110 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Construido en 2007', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:']"
Piso en venta en conde soto ameno,Santo Domingo,235000,"['130 m² construidos, 120 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 2007', 'Calefacción central: Gas', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Doctor Santaolalla,Santo Domingo,110000,"['70 m² construidos, 66 m² útiles', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Orientación sur, este', 'Construido en 1966', 'Calefacción individual', 'Planta 3ª exterior', 'Sin ascensor']","['Aire acondicionado', 'Consumo: \n58 kWh/m² año', 'Emisiones: \n18 kg CO2/m² año']"
Piso en venta en calle san matias,San Agustín,136500,"['130 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Bajo exterior', 'Sin ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Catedratico Ferre Vidiella,Ensanche-Diputación,199000,"['100 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje por 38.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1996', 'Calefacción individual', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Santo Domingo,San Blas-Pau,89000,"['98 m² construidos, 78 m² útiles', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1971', 'No dispone de calefacción', 'Planta 4ª exterior', 'Sin ascensor']",['No indicado']
Piso en venta en calle de la Florista,Benicalap,75000,"['54 m² construidos, 48 m² útiles', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Orientación norte, este', 'Construido en 1967', 'No dispone de calefacción', 'Planta 5ª interior', 'Sin ascensor']","['Consumo: \n123 kWh/m² año', 'Emisiones: \n56 kg CO2/m² año']"
Ático en venta en Santo Domingo,San Blas-Pau,139000,"['120 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Trastero', 'Bajo exterior', 'Sin ascensor']","['Aire acondicionado', 'Consumo: \n999 kWh/m² año']"
Piso en venta en avenida Benito Perez Galdos,Ensanche-Diputación,340000,"['134 m² construidos, 123 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, este, oeste', 'Calefacción individual: Bomba de frío/calor', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n79 kWh/m² año', 'Emisiones: \n16 kg CO2/m² año']"
Piso en venta en calle Catedratico Ferre Vidiella,Ensanche-Diputación,333900,"['102 m² construidos, 85 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 2002', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 1ª interior', 'Con ascensor']",['En trámite']
Piso en venta en calle Cardenal Belluga,Santo Domingo,255000,"['123 m² construidos, 105 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Orientación este', 'Construido en 1993', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Catedratico Ferre Vidiella,Ensanche-Diputación,199000,"['100 m² construidos, 82 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje por 39.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1996', 'Calefacción individual: Bomba de frío/calor', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Catedratico Ferre Vidiella,Ensanche-Diputación,199000,"['122 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1994', 'Calefacción individual: Eléctrica', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en calle Doctor Santaolalla,Santo Domingo,135000,"['105 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1975', 'Calefacción individual: Eléctrica', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Ensanche-Diputación,Centro,260000,"['160 m² construidos, 150 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1967', 'Planta 6ª exterior', 'Con ascensor']",['Consumo: \n999 kWh/m² año']
