title,location,precio,basic_features,extra_features
Piso en venta en calle Lafora,La Florida,180000,"['116 m² construidos', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2002', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle Astrónomo Comas Sola,La Florida,99900,"['101 m² construidos', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Construido en 1973', 'Planta 1ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
Ático en venta en plaza Navarro Rodrigo,Benalúa,240000,"['106 m² construidos, 100 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1966', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle Sociedad Cultural Deportiva Betis Florida,La Florida,191000,"['115 m² construidos, 110 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este, oeste', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:']"
Casa o chalet independiente en venta en calle Catral,La Florida,450000,"['Casa o chalet independiente', '3 plantas', '451 m² construidos', '6 habitaciones', '5 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2006', 'No dispone de calefacción']","['Aire acondicionado', 'No indicado']"
Piso en venta en avenida José María Hernández Mata,La Florida,168630,"['120 m² construidos, 115 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1989', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'En trámite']"
Piso en venta en avenida Catedratico Soler,Benalúa,157000,"['96 m² construidos, 86 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Calefacción individual: Bomba de frío/calor', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en avenida Oscar Espla,Benalúa,330000,"['125 m² construidos, 113 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1989', 'Planta 4ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle Alona,Benalúa,195000,"['82 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Construido en 1969', 'Planta 2ª', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n107 kWh/m² año', 'Emisiones: \n22 kg CO2/m² año']"
Piso en venta en calle Santa María Mazzarello,Benalúa,127000,"['80 m² construidos, 70 m² útiles', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Orientación oeste', 'Bajo exterior', 'Sin ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Arquitecto Guardiola,Benalúa,225000,"['129 m² construidos, 120 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje por 30.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 2007', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Casa o chalet independiente en venta en calle Régulo,La Florida,90000,"['Casa o chalet independiente', '1 planta', '88 m² construidos, 80 m² útiles', '3 habitaciones', '1 baño', 'Parcela de 105 m²', 'Terraza', 'Segunda mano/para reformar', 'Orientación este, oeste', 'Construido en 1935', 'No dispone de calefacción']","['Consumo: \n121 kWh/m² año', 'Emisiones: \n32 kg CO2/m² año']"
Piso en venta en avenida Catedrático Soler s/n,Benalúa,302000,"['97 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Promoción de obra nueva', 'Armarios empotrados', 'Trastero', 'Planta 2ª exterior', 'Con ascensor']",['No indicado']
Piso en venta en avenida Catedrático Soler s/n,Benalúa,234000,"['71 m² construidos', '2 habitaciones', '1 baño', 'Terraza', 'Plaza de garaje incluida en el precio', 'Promoción de obra nueva', 'Armarios empotrados', 'Trastero', 'Planta 3ª exterior', 'Con ascensor']",['No indicado']
Piso en venta en calle Asturias,La Florida,135000,"['114 m² construidos, 104 m² útiles', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1977', 'Calefacción individual: Bomba de frío/calor', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle Pardo Gimeno,Benalúa,209000,"['154 m² construidos, 126 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'No dispone de calefacción', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle Àries,La Florida,132000,"['129 m² construidos, 123 m² útiles', '3 habitaciones', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1976', 'No dispone de calefacción', 'Planta 3ª exterior']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle Doctor Just,Benalúa,232000,"['124 m² construidos, 111 m² útiles', '3 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1995', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Ático en venta en calle San Lorenzo,La Florida,160000,"['112 m² construidos, 108 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, oeste', 'Construido en 1977', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle lliber,La Florida,168630,"['115 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1989', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'En trámite']"
