title,location,precio,basic_features,extra_features
Piso en venta en La Florida Portazgo,Benalúa-La Florida-Babel-San Gabriel,86000,"['89 m² construidos, 69 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1964', 'No dispone de calefacción', 'Planta 3ª exterior', 'Sin ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en La Florida Portazgo,Benalúa-La Florida-Babel-San Gabriel,86000,"['89 m² construidos, 69 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1964', 'No dispone de calefacción', 'Planta 3ª exterior', 'Sin ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en Ciudad de Asís,Benalúa-La Florida-Babel-San Gabriel,160000,"['110 m² construidos, 95 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, oeste', 'Construido en 2006', 'Calefacción individual', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Pascual Orozco,Alipark,135000,"['76 m² construidos, 70 m² útiles', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/para reformar', 'Orientación oeste', 'Construido en 1972', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'exterior', 'Con ascensor']","['Piscina', 'En trámite']"
Piso en venta en calle Cefeo s/n,La Florida Portazgo,129000,"['124 m² construidos, 115 m² útiles', '3 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en calle Lira,La Florida Portazgo,132000,"['92 m² construidos, 90 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'No dispone de calefacción', 'Planta 3ª exterior', 'Sin ascensor']","['Consumo: \n185 kWh/m² año', 'Emisiones: \n38 kg CO2/m² año']"
Casa o chalet independiente en venta en Ciudad de Asís - Font-Calent - El Bacarot,Los Ángeles-Tómbola-San Nicolás,246000,"['Casa o chalet independiente', '1 planta', '90 m² construidos, 75 m² útiles', '2 habitaciones', '1 baño', 'Parcela de 3.300 m²', 'Terraza', 'Segunda mano/para reformar', 'Orientación este', 'Construido en 1972', 'No dispone de calefacción']",['No indicado']
Piso en venta en La Florida Portazgo,Benalúa-La Florida-Babel-San Gabriel,133500,"['87 m² construidos, 76 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1982', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n127 kWh/m² año', 'Emisiones: \n24 kg CO2/m² año']"
Piso en venta en La Florida Portazgo,Benalúa-La Florida-Babel-San Gabriel,133500,"['87 m² construidos, 72 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1982', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n117 kWh/m² año', 'Emisiones: \n24 kg CO2/m² año']"
Casa o chalet independiente en venta en Ciudad de Asís - Font-Calent - El Bacarot,Los Ángeles-Tómbola-San Nicolás,380000,"['Casa o chalet independiente', '1 planta', '340 m² construidos, 335 m² útiles', '5 habitaciones', '3 baños', 'Parcela de 2.000 m²', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo: \n108 kWh/m² año', 'Emisiones: \n24 kg CO2/m² año']"
Piso en venta en calle de Princesa Mercedes,Princesa Mercedes,79900,"['65 m² construidos, 60 m² útiles', '2 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Orientación este', 'Construido en 1970', 'No dispone de calefacción', 'Planta 3ª exterior', 'Sin ascensor']","['Aire acondicionado', 'En trámite']"
